,Insult,Vulgarity
356,DNB,73
357,dodgy,27
358,dodo,39
359,doe,30
360,dog,33
361,dog-faced,24
362,doiche,7
363,doink,46
364,dolt,22
365,do my head,68
366,dong,53
367,donkey-faced,33
368,doofus,26
369,doorknocker,50
370,doosh,65
371,dope,32
372,dope fiend,30
373,dope monger,18
374,doper,26
375,dope whore,67
376,dork,45
377,dork breath,22
378,dork slap,50
379,dosser,19
380,do the pooch,57
381,double-bagger,56
382,double R,24
383,doubly purdy,66
384,douche,50
385,douche b,60
386,douche bag,52
387,douche bagel,18
388,douche canoe,56
389,douche dick,0
390,douche nozzle,51
391,doucher,59
392,doush,62
393,DP,66
394,drag,35
395,drainer,24
396,drongo,23
397,drop dead,41
398,drop in the bucket,22
399,dropkick,34
400,druggie,25
401,duck,43
402,Dullsville,2
403,dumbass,53
404,dumb-ass,52
405,dumb bunny,0
406,dumbfuck,56
407,dumb-fuck,66
408,dumb-head,27
409,dump,49
410,dump truck,34
411,durge,20
412,dweeb,31
413,EAD,68
414,East Bumblefuck,67
415,East Butt-fuck,53
416,East Nowhere,20
417,eat a bitch,67
418,eat a dick,77
419,eat it,49
420,eat me,49
421,eat my shorts,34
422,eat shit,38
423,eat shit and die,49
424,eejit,21
425,eff off,52
426,egghead,54
427,Egypt,37
428,ent,4
429,escort,48
430,e-tard,20
431,e-tarded,31
432,eye broccoli,9
433,face like a workman's bench,29
434,fag,64
435,faggot,71
436,fail,13
437,fake,47
438,false,16
439,fanboi,0
440,fanboy,15
441,fanny,57
442,farging icehole,63
443,far out,20
444,fart,40
445,fart face,60
446,fartknocker,26
447,fart-knocker,32
448,fatal attraction,43
449,fat cat,53
450,fecker,37
451,fence,14
452,feral,39
453,fidiot,32
454,FILF,68
455,fish,38
456,flid,54
457,flipper,50
458,FLK,26
459,floozie,55
460,floozy,33
461,fluck a duck,68
462,fluff,64
463,flyover country,2
464,FOAD,63
465,focker,65
466,fool,16
467,FOP,61
468,freak,48
469,freaking,51
470,freaky,50
471,freaky-deaky,29
472,fried,33
473,FRO,29
474,from hunger,17
475,fruitcake,23
476,FU,71
477,FUBAR,40
478,fubugly,72
479,fuck,78
480,fuck-bitch,73
481,fuckbunny,61
482,fucked up,59
483,fucker,70
484,fuck face,73
485,fuckhead,60
486,fuck head,55
487,fucking,73
488,fuck nigga,70
489,fucknut,69
490,fuck nut,58
491,fucko,64
492,fuck off,71
493,fuck (one's self),71
494,fucksqueek,64
495,fuck stain,69
496,fuck stick,69
497,fucktard,67
498,fuck up,59
499,fuckward,56
500,fuckwit,53
501,fuckwitt,55
502,fuck yo mama,77
503,fucunt,87
504,fug,59
505,fugazi,30
506,fugly,60
507,FUGMO,53
508,funk,35
509,funkdafied,29
510,funky,33
511,funky monkey,24
512,fun sponge,20
513,futhermucker,69
514,g,37
515,gang banger,57
516,gangstar,32
517,garden tool,61
518,gay,50
519,geek,34
520,geek chic,28
521,geek monster,63
522,get a life,43
523,get bent,45
524,get stuffed,26
525,get to fuck,62
526,GFE,48
527,GFY,67
528,GFYS,65
529,ghettified,36
530,ghetto,50
531,ghetto bird,57
532,gigolo,55
533,gimp,47
534,girlfriend experience,66
535,girly-girl,28
536,git,31
537,give the skeeves,30
538,give the wiggins,13
539,gnarly,24
540,gobshite,41
541,go fly a kite,41
542,go fuck a,72
543,go fuck (one's self),69
544,go fuck on (one's self),83
545,go jerk yourself,0
546,go make me a sandwich,51
547,gomer,36
548,goober,24
549,gooberhead,39
550,goocher,18
551,"good from afar, far from good",34
552,good from afar; far from good,53
553,good ol' boy,27
554,good old boy,28
555,goon,32
556,go pear-shaped,15
557,gorby,35
558,gorp,39
